,Year,FieldID,cropType,Reported_Irrigation,Reported_Yield
84,2020,WC4,Corn,373.634,
85,2016,WC5,Corn,391.16,
86,2018,WC5,Corn,349.25,
87,2020,WC5,Corn,370.078,
88,2017,WC6,Corn,403.098,
89,2019,WC6,Corn,294.64,
90,2016,WC8,Corn,424.434,
91,2020,WC8,Corn,544.068,
92,2019,WC9,Corn,388.874,
93,2015,NW1,Corn,265.206609,10.32707421
94,2015,NW2,Corn,288.8900489,12.14890568
95,2015,NW3,Corn,279.7381513,13.66339976
97,2015,NW4,Corn,331.4203702,14.16576525
98,2015,NW5,Corn,342.2725775,11.96463775
100,2015,NB1,Corn,362.7135073,12.58469261
101,2020,NW6,,357.1920808,
102,2021,NW6,,558.4138012,
103,2018,NW7,,361.1455279,
104,2019,NW7,,263.6944721,
105,2011,NW6,Corn,,13.175157
106,2012,NW6,Corn,,11.99221069
107,2008,NW7,Corn,,10.54833023
108,2009,NW7,Corn,,10.0681576
109,2010,NW7,Corn,,12.08232712
110,2013,NW7,Corn,,14.64526538
111,2011,NB1,Corn,,10.43131337
112,2012,NB1,Corn,,6.454757638
113,2013,NB1,Corn,,8.813925152
114,2014,NB1,Corn,,12.43001515
115,2009,NW1,Corn,,12.13814551
116,2010,NW1,Corn,,10.01435674
117,2012,NW1,Corn,,6.027040837
118,2013,NW1,Corn,,6.536803943
119,2014,NW1,Corn,,10.2947937
120,2008,NW2,Corn,,12.7978785
121,2010,NW2,Corn,,12.11124508
122,2011,NW2,Corn,,10.90207086
123,2012,NW2,Corn,,6.666598507
124,2013,NW2,Corn,,6.129934973
125,2014,NW2,Corn,,11.55037116
126,2009,NW3,Corn,,12.07425699
127,2010,NW3,Corn,,10.76824123
128,2011,NW3,Corn,,9.378161624
129,2012,NW3,Corn,,6.99881879
130,2014,NW3,Corn,,13.29620893
131,2008,NW4,Corn,,13.42264094
132,2009,NW4,Corn,,10.53488002
133,2010,NW4,Corn,,10.87113536
134,2012,NW4,Corn,,9.220121611
135,2013,NW4,Corn,,11.82072046
136,2014,NW4,Corn,,13.31167667
137,2008,NW5,Corn,,12.65597875
138,2010,NW5,Corn,,10.42727831
139,2011,NW5,Corn,,7.873082691
140,2012,NW5,Corn,,8.400331075
141,2013,NW5,Corn,,12.09846738
142,2014,NW5,Corn,,12.54770452
